address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
79 C. Bajia Conception Rosarito Bc Mex,Foreign Country,CA,10001,349000,2500,1,4.0,19,House For Sale,"http://www.zillow.com/homes/for_sale/2097627231_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 11,New York,NY,10001,8795000,2924,3,4.0,31,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096099665_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 7,New York,NY,10001,4995000,1717,2,3.0,31,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096099664_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # 7A,New York,NY,10001,2465000,1266,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096119178_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
420 W 25th St Apt 7B,New York,NY,10001,1495000,1040,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/89333552_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
261 W 25th St # Grdnc,New York,NY,10001,1695000,783,2,1.0,37,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096177539_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
433 W 34th St Apt 4A,New York,NY,10001,1495000,1500,3,2.0,37,Co-op For Sale,"http://www.zillow.com/homes/for_sale/2096966323_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # 12B,New York,NY,10001,1550000,696,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096191424_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
143 W 30th St Apt 10A,New York,NY,10001,1250000,643,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/121203396_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
143 W 30th St Apt 5A,New York,NY,10001,1100000,643,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/121187093_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # 6,New York,NY,10001,2425000,1266,2,2.0,49,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096285682_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # 13,New York,NY,10001,1575000,696,1,1.0,49,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096285709_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
433 W 34th St Apt 6B,New York,NY,10001,370000,NA,0,1.0,NA,Co-op For Sale,"http://www.zillow.com/homes/for_sale/79495661_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
